VendorNumber,VendorName,Brand,Description,PurchasePrice,actualprice,Volume,totalpurchasequantity,totalpurchasedollars,totalsalesquantity,totalsalesdollars,totalsalesprice,totalexcisetax,freightcost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249.0,1396130.770000004,65184.0,2068091.159999928,65184.0,119767.48999999705,257032.07000000007,671960.389999924,32.491816753375005,1.0145527556849134,1.4813018983887318
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546.0,1373128.4800000344,47966.0,1884307.3399999118,47966.0,88129.79999999751,257032.07000000007,511178.8599998774,27.128210411784593,1.0088335506667228,1.3722731466467468
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078.0,1317439.4799999988,79042.0,1635666.5799999922,79042.0,145234.94999999867,257032.07000000007,318227.09999999334,19.455499298640365,0.9995447532815701,1.2415496915273814
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349.0,1283470.6200000057,56888.0,1766391.1199999312,56888.0,104524.53999999569,89286.26999999999,482920.4999999255,27.339386760500943,0.9919614988927444,1.3762614371335773
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388.0,1277758.760000023,32945.0,1699669.5499999395,32945.0,60533.42999999981,89286.26999999999,421910.78999991645,24.823106938635895,0.9867317599137415,1.3301959675079111
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936.0,1208990.7200000167,61323.0,1528730.2699999402,61323.0,112669.4499999946,18544.489999999998,319739.54999992345,20.915367234792566,0.9901026866442779,1.264468159027655
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878.0,1205942.9200000067,58013.0,1736610.8699999591,58013.0,60913.64999999911,89286.26999999999,530667.9499999525,30.55767755271306,0.9688533351147333,1.4400440030776493
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480.0,1193404.80000003,98938.0,1624366.6199999545,98938.0,181782.12999999148,123880.96999999999,430961.8199999244,26.531068460390824,0.9749507292077256,1.361119563118829
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473.0,1190145.3300000117,94960.0,1554498.3999999478,94960.0,174471.92999998978,123880.96999999999,364353.06999993604,23.438626247537357,0.9742185015337581,1.3061416625479954
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088.0,1163442.7199999734,58610.0,1549701.8999999315,58610.0,107685.02999999409,38994.78000000001,386259.179999958,24.924740687223466,0.9919103709721094,1.3319967312185055
